country,j,item_class,farmgate_form,n_gap_cells,pairs
Nigeria,Groundnut oil,processed & beverages,processed,29,unit_value_vs_community_price
Nigeria,Malt drinks,processed & beverages,n_a,26,unit_value_vs_community_price
Nigeria,Other alcoholic beverages,processed & beverages,n_a,1,unit_value_vs_community_price
Nigeria,Other non--alcoholic drinks,processed & beverages,n_a,1,unit_value_vs_community_price
Nigeria,Other oils and fats,processed & beverages,processed,3,unit_value_vs_community_price
Nigeria,Palm oil,processed & beverages,processed,71,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Nigeria,Palm wine,processed & beverages,n_a,4,unit_value_vs_community_price
Nigeria,Pito,processed & beverages,n_a,3,unit_value_vs_community_price
Nigeria,Sachet water,processed & beverages,n_a,33,unit_value_vs_community_price
Nigeria,Salt,processed & beverages,processed,10,unit_value_vs_community_price
Nigeria,"Soft drinks (Coca Cola, spirit, etc)",processed & beverages,n_a,47,unit_value_vs_community_price
Nigeria,Sugar,processed & beverages,processed,10,unit_value_vs_community_price
Nigeria,Tea,processed & beverages,processed,9,unit_value_vs_community_price
Nigeria,Bambara nut,pulses & oilseeds,same_good,3,community_price_vs_crop_sale_price
Nigeria,Brown beans,pulses & oilseeds,same_good,10,unit_value_vs_community_price
Nigeria,Cashew nut,pulses & oilseeds,same_good,1,community_price_vs_crop_sale_price
Nigeria,Groundnuts (shelled),pulses & oilseeds,same_good,7,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Nigeria,Groundnuts (unshelled),pulses & oilseeds,same_good,4,unit_value_vs_crop_sale_price
Nigeria,Kola nut,pulses & oilseeds,same_good,3,community_price_vs_crop_sale_price
Nigeria,Snails,pulses & oilseeds,same_good,3,unit_value_vs_community_price
Nigeria,Soya beans,pulses & oilseeds,same_good,8,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Nigeria,Cassava flour,roots & tubers,processed,12,unit_value_vs_community_price
Nigeria,Cassava--roots,roots & tubers,same_good,2,unit_value_vs_crop_sale_price
Nigeria,Cocoyam,roots & tubers,same_good,2,unit_value_vs_crop_sale_price
Nigeria,Gari--white,roots & tubers,processed,4,unit_value_vs_community_price
Nigeria,Gari--yellow,roots & tubers,processed,18,unit_value_vs_community_price
Nigeria,Plantains,roots & tubers,same_good,3,unit_value_vs_crop_sale_price
Nigeria,Potatoes,roots & tubers,same_good,2,unit_value_vs_crop_sale_price
Nigeria,Sweet potatoes,roots & tubers,same_good,2,unit_value_vs_community_price;unit_value_vs_crop_sale_price
Nigeria,Yam flour,roots & tubers,processed,9,unit_value_vs_community_price
Nigeria,Yam--roots,roots & tubers,same_good,48,unit_value_vs_community_price;unit_value_vs_crop_sale_price
Nigeria,Biscuits,staple grains & flours,n_a,3,unit_value_vs_community_price
Nigeria,Bread,staple grains & flours,n_a,1,unit_value_vs_community_price
Nigeria,Cake,staple grains & flours,n_a,1,unit_value_vs_community_price
Nigeria,Guinea corn/sorghum,staple grains & flours,same_good,35,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Nigeria,Maize,staple grains & flours,same_good,46,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Nigeria,Maize flour,staple grains & flours,processed,5,unit_value_vs_community_price
Nigeria,Meat Pie/Sausage Roll,staple grains & flours,n_a,1,unit_value_vs_community_price
Nigeria,Millet,staple grains & flours,same_good,25,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Nigeria,Other grains and flour,staple grains & flours,same_good,3,unit_value_vs_community_price
Nigeria,Rice--imported,staple grains & flours,processed,17,unit_value_vs_community_price
Nigeria,Rice--local,staple grains & flours,processed,38,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Nigeria,Wheat flour,staple grains & flours,processed,8,unit_value_vs_community_price
Tanzania,Beef,animal products,same_good,14,unit_value_vs_community_price
Tanzania,Chicken,animal products,same_good,4,unit_value_vs_community_price
Tanzania,Eggs,animal products,same_good,2,unit_value_vs_community_price
Tanzania,Fish (fresh),animal products,same_good,5,unit_value_vs_community_price
Tanzania,Goat Meat,animal products,same_good,4,unit_value_vs_community_price
Tanzania,Milk (dry or canned),animal products,processed,2,unit_value_vs_community_price
Tanzania,Milk (fresh),animal products,same_good,2,unit_value_vs_community_price
Tanzania,Citrus Fruits,fresh produce,same_good,15,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Tanzania,Leafy Greens,fresh produce,same_good,17,unit_value_vs_community_price
Tanzania,Other Fruits,fresh produce,same_good,12,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Tanzania,Ripe Bananas,fresh produce,same_good,14,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Tanzania,Vegetables (fresh),fresh produce,same_good,28,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Tanzania,Cooking Oil,processed & beverages,processed,27,unit_value_vs_community_price
Tanzania,Local Brews,processed & beverages,n_a,2,unit_value_vs_community_price
Tanzania,Salt,processed & beverages,processed,14,unit_value_vs_community_price
Tanzania,Sugar,processed & beverages,processed,18,unit_value_vs_community_price
Tanzania,Tea (dry),processed & beverages,processed,22,unit_value_vs_community_price
Tanzania,Coconuts,pulses & oilseeds,same_good,17,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Tanzania,Groundnuts,pulses & oilseeds,processed,12,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Tanzania,Pulses,pulses & oilseeds,same_good,52,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Tanzania,Cassava Dry/Flour,roots & tubers,processed,6,unit_value_vs_community_price
Tanzania,Cassava Fresh,roots & tubers,same_good,14,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Tanzania,Irish Potatoes,roots & tubers,same_good,16,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Tanzania,Plantains,roots & tubers,same_good,4,unit_value_vs_community_price
Tanzania,Sugarcane,roots & tubers,same_good,2,unit_value_vs_crop_sale_price
Tanzania,Sweet Potatoes,roots & tubers,same_good,13,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Tanzania,Yams/Cocoyams,roots & tubers,same_good,3,unit_value_vs_community_price
Tanzania,Bread,staple grains & flours,n_a,7,unit_value_vs_community_price
Tanzania,"Buns, Cakes And Biscuits",staple grains & flours,n_a,11,unit_value_vs_community_price
Tanzania,Maize (flour),staple grains & flours,processed,32,unit_value_vs_community_price
Tanzania,Maize (grain),staple grains & flours,same_good,16,community_price_vs_crop_sale_price;unit_value_vs_community_price;unit_value_vs_crop_sale_price
Tanzania,"Maize (green, cob)",staple grains & flours,same_good,4,unit_value_vs_community_price
Tanzania,Millet & Sorghum (flour),staple grains & flours,processed,4,unit_value_vs_community_price
Tanzania,Millet & Sorghum (grain),staple grains & flours,same_good,4,community_price_vs_crop_sale_price
Tanzania,Rice (husked),staple grains & flours,processed,39,unit_value_vs_community_price
Tanzania,Rice (paddy),staple grains & flours,same_good,4,community_price_vs_crop_sale_price
Uganda,Beef,animal products,same_good,103,reported_purchase_price_vs_unit_value;unit_value_vs_own_consumption_valuation
Uganda,"Butter, etc.",animal products,processed,28,reported_purchase_price_vs_unit_value
Uganda,Chicken,animal products,same_good,32,reported_purchase_price_vs_unit_value;unit_value_vs_own_consumption_valuation
Uganda,Eggs,animal products,same_good,69,reported_purchase_price_vs_unit_value;unit_value_vs_own_consumption_valuation
Uganda,Fish (dried),animal products,processed,152,reported_purchase_price_vs_unit_value
Uganda,Fish (fresh),animal products,same_good,159,reported_purchase_price_vs_unit_value;unit_value_vs_own_consumption_valuation
Uganda,Ghee,animal products,processed,47,reported_purchase_price_vs_unit_value;unit_value_vs_own_consumption_valuation
Uganda,Goat,animal products,same_good,30,reported_purchase_price_vs_unit_value;unit_value_vs_own_consumption_valuation
Uganda,Ice Cream,animal products,processed,2,reported_purchase_price_vs_unit_value
Uganda,Milk (fresh),animal products,same_good,173,reported_purchase_price_vs_unit_value;unit_value_vs_own_consumption_valuation
Uganda,Other Meat,animal products,same_good,9,reported_purchase_price_vs_unit_value
Uganda,Pork,animal products,same_good,23,reported_purchase_price_vs_unit_value
Uganda,Yogurt,animal products,processed,2,reported_purchase_price_vs_unit_value
Uganda,Cabbages,fresh produce,same_good,147,own_consumption_valuation_vs_crop_sale_price;own_consumption_valuation_vs_crop_sale_price_soldunit;reported_purchase_price_vs_unit_value;unit_value_vs_crop_sale_price;unit_value_vs_crop_sale_price_soldunit;unit_value_vs_own_consumption_valuation
Uganda,Dodo,fresh produce,same_good,106,own_consumption_valuation_vs_crop_sale_price;own_consumption_valuation_vs_crop_sale_price_soldunit;reported_purchase_price_vs_unit_value;unit_value_vs_crop_sale_price;unit_value_vs_crop_sale_price_soldunit;unit_value_vs_own_consumption_valuation
Uganda,Garlic,fresh produce,same_good,6,reported_purchase_price_vs_unit_value
Uganda,Ginger,fresh produce,same_good,7,reported_purchase_price_vs_unit_value
Uganda,Jackfruit,fresh produce,same_good,8,reported_purchase_price_vs_unit_value;unit_value_vs_own_consumption_valuation
Uganda,Mangos,fresh produce,same_good,74,reported_purchase_price_vs_unit_value;unit_value_vs_own_consumption_valuation
Uganda,Onions,fresh produce,same_good,370,reported_purchase_price_vs_unit_value;unit_value_vs_crop_sale_price;unit_value_vs_crop_sale_price_soldunit;unit_value_vs_own_consumption_valuation
Uganda,Oranges,fresh produce,same_good,49,reported_purchase_price_vs_unit_value;unit_value_vs_own_consumption_valuation
Uganda,Other Fruits,fresh produce,same_good,135,reported_purchase_price_vs_unit_value;unit_value_vs_own_consumption_valuation
Uganda,Other Veg.,fresh produce,same_good,302,reported_purchase_price_vs_unit_value;unit_value_vs_own_consumption_valuation
Uganda,Passion Fruits,fresh produce,same_good,59,reported_purchase_price_vs_unit_value;unit_value_vs_own_consumption_valuation
Uganda,Sweet Bananas,fresh produce,same_good,153,own_consumption_valuation_vs_crop_sale_price;own_consumption_valuation_vs_crop_sale_price_soldunit;reported_purchase_price_vs_unit_value;unit_value_vs_crop_sale_price;unit_value_vs_crop_sale_price_soldunit;unit_value_vs_own_consumption_valuation
Uganda,Tomatoes,fresh produce,same_good,294,reported_purchase_price_vs_unit_value;unit_value_vs_crop_sale_price;unit_value_vs_crop_sale_price_soldunit;unit_value_vs_own_consumption_valuation
Uganda,Beer,processed & beverages,n_a,24,reported_purchase_price_vs_unit_value
Uganda,Bongo,processed & beverages,n_a,4,reported_purchase_price_vs_unit_value;unit_value_vs_own_consumption_valuation
Uganda,Cigarettes,processed & beverages,n_a,30,reported_purchase_price_vs_unit_value
Uganda,Coffee,processed & beverages,processed,38,reported_purchase_price_vs_unit_value
Uganda,Cooking Oil,processed & beverages,processed,332,reported_purchase_price_vs_unit_value;unit_value_vs_own_consumption_valuation
Uganda,Jam/Marmalade,processed & beverages,processed,14,reported_purchase_price_vs_unit_value;unit_value_vs_own_consumption_valuation
Uganda,Other Alcohol,processed & beverages,n_a,131,reported_purchase_price_vs_unit_value;unit_value_vs_own_consumption_valuation
Uganda,Other Drinks,processed & beverages,n_a,7,reported_purchase_price_vs_unit_value
Uganda,Other Juice,processed & beverages,n_a,5,reported_purchase_price_vs_unit_value
Uganda,Other Spices,processed & beverages,processed,3,reported_purchase_price_vs_unit_value
Uganda,Other Tobacco,processed & beverages,n_a,36,reported_purchase_price_vs_unit_value;unit_value_vs_own_consumption_valuation
Uganda,Salt,processed & beverages,processed,438,reported_purchase_price_vs_unit_value;unit_value_vs_own_consumption_valuation
Uganda,Soda,processed & beverages,n_a,91,reported_purchase_price_vs_unit_value;unit_value_vs_own_consumption_valuation
Uganda,Sugar,processed & beverages,processed,132,reported_purchase_price_vs_unit_value
Uganda,Tea,processed & beverages,processed,191,reported_purchase_price_vs_unit_value;unit_value_vs_crop_sale_price;unit_value_vs_crop_sale_price_soldunit;unit_value_vs_own_consumption_valuation
Uganda,Waragi,processed & beverages,n_a,22,reported_purchase_price_vs_unit_value
Uganda,Water,processed & beverages,n_a,9,reported_purchase_price_vs_unit_value
Uganda,Beans,pulses & oilseeds,same_good,382,own_consumption_valuation_vs_crop_sale_price;own_consumption_valuation_vs_crop_sale_price_soldunit;reported_purchase_price_vs_unit_value;unit_value_vs_crop_sale_price;unit_value_vs_crop_sale_price_soldunit;unit_value_vs_own_consumption_valuation
Uganda,Ground Nuts,pulses & oilseeds,processed,316,own_consumption_valuation_vs_crop_sale_price;own_consumption_valuation_vs_crop_sale_price_soldunit;reported_purchase_price_vs_unit_value;unit_value_vs_crop_sale_price;unit_value_vs_crop_sale_price_soldunit;unit_value_vs_own_consumption_valuation
Uganda,Peas,pulses & oilseeds,same_good,56,reported_purchase_price_vs_unit_value;unit_value_vs_own_consumption_valuation
Uganda,Sim Sim,pulses & oilseeds,processed,94,own_consumption_valuation_vs_crop_sale_price;own_consumption_valuation_vs_crop_sale_price_soldunit;reported_purchase_price_vs_unit_value;unit_value_vs_crop_sale_price;unit_value_vs_crop_sale_price_soldunit;unit_value_vs_own_consumption_valuation
Uganda,Soybean,pulses & oilseeds,same_good,7,own_consumption_valuation_vs_crop_sale_price_soldunit;reported_purchase_price_vs_unit_value;unit_value_vs_crop_sale_price;unit_value_vs_crop_sale_price_soldunit;unit_value_vs_own_consumption_valuation
Uganda,Cassava,roots & tubers,processed,212,own_consumption_valuation_vs_crop_sale_price;own_consumption_valuation_vs_crop_sale_price_soldunit;reported_purchase_price_vs_unit_value;unit_value_vs_crop_sale_price;unit_value_vs_crop_sale_price_soldunit;unit_value_vs_own_consumption_valuation
Uganda,Cassava (flour),roots & tubers,processed,104,reported_purchase_price_vs_unit_value;unit_value_vs_own_consumption_valuation
Uganda,Irish Potatoes,roots & tubers,same_good,97,own_consumption_valuation_vs_crop_sale_price;own_consumption_valuation_vs_crop_sale_price_soldunit;reported_purchase_price_vs_unit_value;unit_value_vs_crop_sale_price;unit_value_vs_crop_sale_price_soldunit;unit_value_vs_own_consumption_valuation
Uganda,Matoke,roots & tubers,same_good,388,own_consumption_valuation_vs_crop_sale_price;own_consumption_valuation_vs_crop_sale_price_soldunit;reported_purchase_price_vs_unit_value;unit_value_vs_crop_sale_price;unit_value_vs_crop_sale_price_soldunit;unit_value_vs_own_consumption_valuation
Uganda,Sugarcane,roots & tubers,same_good,17,own_consumption_valuation_vs_crop_sale_price_soldunit;reported_purchase_price_vs_unit_value;unit_value_vs_crop_sale_price_soldunit;unit_value_vs_own_consumption_valuation
Uganda,Sweet Potatoes,roots & tubers,same_good,203,own_consumption_valuation_vs_crop_sale_price;own_consumption_valuation_vs_crop_sale_price_soldunit;reported_purchase_price_vs_unit_value;unit_value_vs_crop_sale_price;unit_value_vs_crop_sale_price_soldunit;unit_value_vs_own_consumption_valuation
Uganda,Yam,roots & tubers,same_good,14,reported_purchase_price_vs_unit_value;unit_value_vs_own_consumption_valuation
Uganda,Biscuits,staple grains & flours,n_a,10,reported_purchase_price_vs_unit_value
Uganda,Bread,staple grains & flours,n_a,91,reported_purchase_price_vs_unit_value
Uganda,Cake,staple grains & flours,n_a,5,reported_purchase_price_vs_unit_value
Uganda,Chapati,staple grains & flours,n_a,70,reported_purchase_price_vs_unit_value;unit_value_vs_own_consumption_valuation
Uganda,Donut,staple grains & flours,n_a,11,reported_purchase_price_vs_unit_value;unit_value_vs_own_consumption_valuation
Uganda,Kabalagala,staple grains & flours,n_a,15,reported_purchase_price_vs_unit_value;unit_value_vs_own_consumption_valuation
Uganda,Macaroni/Spaghetti,staple grains & flours,n_a,5,reported_purchase_price_vs_unit_value
Uganda,Maize,staple grains & flours,processed,409,own_consumption_valuation_vs_crop_sale_price;own_consumption_valuation_vs_crop_sale_price_soldunit;reported_purchase_price_vs_unit_value;unit_value_vs_crop_sale_price;unit_value_vs_crop_sale_price_soldunit;unit_value_vs_own_consumption_valuation
Uganda,Millet,staple grains & flours,processed,120,own_consumption_valuation_vs_crop_sale_price;own_consumption_valuation_vs_crop_sale_price_soldunit;reported_purchase_price_vs_unit_value;unit_value_vs_crop_sale_price;unit_value_vs_crop_sale_price_soldunit;unit_value_vs_own_consumption_valuation
Uganda,Rice,staple grains & flours,processed,99,own_consumption_valuation_vs_crop_sale_price;own_consumption_valuation_vs_crop_sale_price_soldunit;reported_purchase_price_vs_unit_value;unit_value_vs_crop_sale_price;unit_value_vs_crop_sale_price_soldunit;unit_value_vs_own_consumption_valuation
Uganda,Samosa,staple grains & flours,n_a,4,reported_purchase_price_vs_unit_value
Uganda,Sorghum,staple grains & flours,same_good,129,own_consumption_valuation_vs_crop_sale_price;own_consumption_valuation_vs_crop_sale_price_soldunit;reported_purchase_price_vs_unit_value;unit_value_vs_crop_sale_price;unit_value_vs_crop_sale_price_soldunit;unit_value_vs_own_consumption_valuation
Uganda,Wheat (flour),staple grains & flours,processed,3,reported_purchase_price_vs_unit_value
