Preferred Label,Aggregate Label,status,reason,evidence,group_id,in_country_preferred,declared_waves,source_rows,country_crosswalk_targets,delivered_waves
Dawadawa,Dawadawa,singleton,No merge proposed at this stage.,,,True,1991-92; 1998-99; 2012-13; 2016-17,1991-92/Code_9b: 23.0; 1991-92/Label_9b: Dawadawa; 1998-99/Code_9b: 23.0; 1998-99/Label_9b: Dawadawa; 2012-13/Code_9b: 103.0; 2012-13/Label_9b: dawadawa; 2016-17/Code_9b: 526.0; 2016-17/Label_9b: Dawadawa; 2016-17/Code_8h: 60.0; 2016-17/Label_8h: 60. Dawadawa,Dawadawa,1991-92; 1998-99; 2012-13; 2016-17
Dove/Pigeon,Dove/Pigeon,singleton,No merge proposed at this stage.,,,True,,,,1987-88; 1988-89
Duck,Duck,singleton,No merge proposed at this stage.,,,True,1987-88; 1988-89; 1991-92; 1998-99,1987-88/Code_12A: 321; 1987-88/Label_12A: Duck; 1987-88/Code_12B: 321.0; 1987-88/Label_12B: Duck; 1988-89/Code_12A: 321; 1988-89/Label_12A: Duck; 1988-89/Code_12B: 321.0; 1988-89/Label_12B: Duck; 1991-92/Code_9b: 61.0; 1991-92/Label_9b: Duck; 1998-99/Code_9b: 61.0; 1998-99/Label_9b: Duck,Duck,1987-88; 1988-89; 1991-92; 1998-99
Egg,Egg,singleton,No merge proposed at this stage.,,,True,1987-88; 1988-89; 1991-92; 1998-99; 2005-06; 2012-13; 2016-17,"1987-88/Code_12A: 328; 1987-88/Label_12A: Eggs (from all birds); 1987-88/Code_12B: 328.0; 1987-88/Label_12B: Eggs (from all birds); 1988-89/Code_12A: 328; 1988-89/Label_12A: Eggs (from all birds); 1988-89/Code_12B: 328.0; 1988-89/Label_12B: Eggs (from all birds); 1991-92/Code_9b: 64.0; 1991-92/Label_9b: Chicken eggs; 1991-92/Code_8h: 70.0; 1991-92/Label_8h: Eggs; 1998-99/Code_9b: 64.0; 1998-99/Label_9b: Chicken eggs; 1998-99/Code_8h: 70.0; 1998-99/Label_8h: Eggs; 2005-06/Code_9b: 53.0, 54.0; 2005-06/Label_9b: chicken eggs, other eggs; 2005-06/Code_8h: 70.0; 2005-06/Label_8h: eggs; 2012-13/Code_9b: 53.0, 54.0; 2012-13/Label_9b: chicken eggs, other eggs; 2012-13/Code_8h: 70.0; 2012-13/Label_8h: eggs; 2016-17/Code_9b: 416.0, 417.0; 2016-17/Label_9b: Chicken eggs (fresh, single), Other eggs; 2016-17/Code_8h: 74.0; 2016-17/Label_8h: 74. Eggs",Egg,1987-88; 1988-89; 1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Eggplant,Eggplant,singleton,No merge proposed at this stage.,,,True,1987-88; 1988-89; 2005-06; 2012-13; 2016-17,1987-88/Code_12A: 347; 1987-88/Label_12A: Garden eggs; 1987-88/Code_12B: 347.0; 1987-88/Label_12B: Garden eggs; 1988-89/Code_12A: 347; 1988-89/Label_12A: Garden eggs; 1988-89/Code_12B: 347.0; 1988-89/Label_12B: Garden eggs; 2005-06/Code_9b: 81.0; 2005-06/Label_9b: garden eggs; 2005-06/Code_8h: 54.0; 2005-06/Label_8h: garden eggs/egg plant; 2012-13/Code_9b: 81.0; 2012-13/Label_9b: garden eggs; 2012-13/Code_8h: 54.0; 2012-13/Label_8h: garden eggs/egg plant; 2016-17/Code_9b: 456.0; 2016-17/Label_9b: Garden eggs; 2016-17/Code_8h: 54.0; 2016-17/Label_8h: 54. Garden eggs/egg plant,Eggplant,1987-88; 1988-89; 1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Eggplant Leaf,Eggplant Leaf,singleton,No merge proposed at this stage.,,,True,2016-17,2016-17/Code_8h: 58.0; 2016-17/Label_8h: 58. Gboma,Eggplant Leaf,2016-17
Emotuo,Emotuo,singleton,No merge proposed at this stage.,,,True,1987-88; 1988-89,1987-88/Code_12A: 358; 1987-88/Label_12A: Emotuo; 1988-89/Code_12A: 358; 1988-89/Label_12A: Emotuo,Emotuo,1987-88; 1988-89
Fast Food,Fast Food,singleton,No merge proposed at this stage.,,,True,2005-06; 2012-13,2005-06/Code_9b: 258.0; 2005-06/Label_9b: fast foods; 2012-13/Code_9b: 258.0; 2012-13/Label_9b: fast foods,Fast Food,2005-06; 2012-13
Fish (canned),Fish (canned or in oil/sauce),draft_merge,Canned/processed fish forms named in 2016-17 beside the historical Fish (canned).,PR #937 additional_candidates.yml: named_processed_fish (unchanged by #935),named_processed_fish,True,1991-92; 1998-99; 2005-06; 2012-13; 2016-17,"1991-92/Code_9b: 76.0; 1991-92/Label_9b: Canned fish; 1998-99/Code_9b: 76.0; 1998-99/Label_9b: Canned fish; 2005-06/Code_9b: 38.0; 2005-06/Label_9b: fish (canned); 2012-13/Code_9b: 38.0; 2012-13/Label_9b: fish (canned); 2016-17/Code_9b: 165.0, 166.0, 167.0, 168.0, 169.0, 170.0, 171.0, 172.0; 2016-17/Label_9b: Gino, Lele, Obaapa, Other sardines, Princess, Smile, Titus, Vega",Fish (canned),1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Fish (dried),Fish (dried),singleton,No merge proposed at this stage.,,,True,1991-92; 1998-99; 2005-06; 2012-13; 2016-17,1991-92/Code_9b: 74.0; 1991-92/Label_9b: Fish (dried); 1998-99/Code_9b: 74.0; 1998-99/Label_9b: Fish (dried); 2005-06/Code_9b: 35.0; 2005-06/Label_9b: fish (dried); 2012-13/Code_9b: 35.0; 2012-13/Label_9b: fish (dried); 2016-17/Code_9b: 158.0; 2016-17/Label_9b: Dried fish - Koobi,Fish (dried),1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Fish (fresh and frozen),Fish (fresh and frozen),singleton,No merge proposed at this stage.,,,True,1991-92; 1998-99; 2005-06; 2012-13,1991-92/Code_9b: 73.0; 1991-92/Label_9b: Fish (fresh and frozen); 1991-92/Code_8h: 69.0; 1991-92/Label_8h: Fish & Shellfish; 1998-99/Code_9b: 73.0; 1998-99/Label_9b: Fish (fresh and frozen); 1998-99/Code_8h: 69.0; 1998-99/Label_8h: Fish & Shellfish; 2005-06/Code_9b: 34.0; 2005-06/Label_9b: fish (fresh and frozen); 2012-13/Code_9b: 34.0; 2012-13/Label_9b: fish (fresh and frozen),Fish (fresh and frozen),1987-88; 1988-89; 1991-92; 1998-99; 2005-06; 2012-13
Fish (fried),Fish (fried),singleton,No merge proposed at this stage.,,,True,1991-92; 1998-99; 2005-06; 2012-13; 2016-17,1991-92/Code_9b: 75.0; 1991-92/Label_9b: Fish (fried); 1998-99/Code_9b: 75.0; 1998-99/Label_9b: Fish (fried); 2005-06/Code_9b: 37.0; 2005-06/Label_9b: fish (fried); 2012-13/Code_9b: 37.0; 2012-13/Label_9b: fish (fried); 2016-17/Code_9b: 157.0; 2016-17/Label_9b: Fish (fried),Fish (fried),1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Fish (salted),Fish (salted),singleton,No merge proposed at this stage.,,,True,2005-06; 2012-13; 2016-17,2005-06/Code_9b: 39.0; 2005-06/Label_9b: fish (salted); 2012-13/Code_9b: 39.0; 2012-13/Label_9b: fish (salted); 2016-17/Code_9b: 159.0; 2016-17/Label_9b: Fish (salted) e.g. Kako,Fish (salted),2005-06; 2012-13; 2016-17
Fish (smoked),Fish (smoked),draft_merge,"2016-17 separates river- and sea-smoked fish; 1991-92..2012-13 ask one ""smoked fish"" question. Excludes Herring (smoked) and Salmon (smoked), which are named species on every axis that carries them.","slurm_logs/ghanalss_aggregate_labels/TABLE_AUDIT.org: Issue 1, Fish (smoked)",smoked_fish_origin,True,1991-92; 1998-99; 2005-06; 2012-13,1991-92/Code_9b: 71.0; 1991-92/Label_9b: Smoked fish; 1998-99/Code_9b: 71.0; 1998-99/Label_9b: Smoked fish; 2005-06/Code_9b: 36.0; 2005-06/Label_9b: fish (smoked); 2012-13/Code_9b: 36.0; 2012-13/Label_9b: fish (smoked),Fish (smoked),1991-92; 1998-99; 2005-06; 2012-13
"Fish (smoked, river)",Fish (smoked),draft_merge,"2016-17 separates river- and sea-smoked fish; 1991-92..2012-13 ask one ""smoked fish"" question. Excludes Herring (smoked) and Salmon (smoked), which are named species on every axis that carries them.","slurm_logs/ghanalss_aggregate_labels/TABLE_AUDIT.org: Issue 1, Fish (smoked)",smoked_fish_origin,True,2016-17,2016-17/Code_9b: 153.0; 2016-17/Label_9b: Fish smoked (river),"Fish (smoked, river)",2016-17
"Fish (smoked, sea)",Fish (smoked),draft_merge,"2016-17 separates river- and sea-smoked fish; 1991-92..2012-13 ask one ""smoked fish"" question. Excludes Herring (smoked) and Salmon (smoked), which are named species on every axis that carries them.","slurm_logs/ghanalss_aggregate_labels/TABLE_AUDIT.org: Issue 1, Fish (smoked)",smoked_fish_origin,True,2016-17,2016-17/Code_9b: 154.0; 2016-17/Label_9b: Fish smoked (sea),"Fish (smoked, sea)",2016-17
Fried Plantain and Beans,Fried Plantain and Beans,singleton,No merge proposed at this stage.,,,True,,,,2016-17
Gari,Gari,draft_merge,"The raw labels are Garri/Gari in every wave (#935 renamed the former ""Cassava (flour)""); 2016-17 separates white and yellow gari. Excludes fresh cassava, dough and Cassava (dried).",slurm_logs/ghanalss_aggregate_labels/LANDED.org: Cassava (flour) renamed Gari; 2016-17 split; PR #937 validation.org: white/yellow retained as singletons,gari,True,1987-88; 1988-89; 1991-92; 1998-99; 2005-06; 2012-13,1987-88/Code_12A: 306; 1987-88/Label_12A: Garri; 1987-88/Code_12B: 306.0; 1987-88/Label_12B: Garri; 1988-89/Code_12A: 306; 1988-89/Label_12A: Garri; 1988-89/Code_12B: 306.0; 1988-89/Label_12B: Garri; 1991-92/Code_9b: 15.0; 1991-92/Label_9b: Gari; 1991-92/Code_8h: 11.0; 1991-92/Label_8h: Cassava –gari; 1998-99/Code_9b: 15.0; 1998-99/Label_9b: Gari; 1998-99/Code_8h: 11.0; 1998-99/Label_8h: Cassava –gari; 2005-06/Code_9b: 124.0; 2005-06/Label_9b: gari; 2005-06/Code_8h: 11.0; 2005-06/Label_8h: cassava-gari; 2012-13/Code_9b: 124.0; 2012-13/Label_9b: gari; 2012-13/Code_8h: 11.0; 2012-13/Label_8h: cassava-gari,Gari,1987-88; 1988-89; 1991-92; 1998-99; 2005-06; 2012-13
Gari (white),Gari,draft_merge,"The raw labels are Garri/Gari in every wave (#935 renamed the former ""Cassava (flour)""); 2016-17 separates white and yellow gari. Excludes fresh cassava, dough and Cassava (dried).",slurm_logs/ghanalss_aggregate_labels/LANDED.org: Cassava (flour) renamed Gari; 2016-17 split; PR #937 validation.org: white/yellow retained as singletons,gari,True,2016-17,2016-17/Code_9b: 56.0; 2016-17/Label_9b: White gari,Gari (white),2016-17
Gari (yellow),Gari,draft_merge,"The raw labels are Garri/Gari in every wave (#935 renamed the former ""Cassava (flour)""); 2016-17 separates white and yellow gari. Excludes fresh cassava, dough and Cassava (dried).",slurm_logs/ghanalss_aggregate_labels/LANDED.org: Cassava (flour) renamed Gari; 2016-17 split; PR #937 validation.org: white/yellow retained as singletons,gari,True,2016-17,2016-17/Code_9b: 55.0; 2016-17/Label_9b: Yellow gari; 2016-17/Code_8h: 11.0; 2016-17/Label_8h: 11. Cassava-gari,Gari (yellow),2016-17
Garlic,Garlic,singleton,No merge proposed at this stage.,,,True,2016-17,2016-17/Code_9b: 523.0; 2016-17/Label_9b: Garlic,Garlic,2016-17
Gin,Spirits (gin/whisky/schnapps),draft_merge,"Named spirits; Akpeteshie, Bitters and Other Spirits stay separate.",PR #937 additional_candidates.yml: named_spirits (unchanged by #935),named_spirits,True,1991-92; 1998-99; 2016-17,1991-92/Code_9b: 103.0; 1991-92/Label_9b: Gin; 1998-99/Code_9b: 103.0; 1998-99/Label_9b: Gin; 2016-17/Code_9b: 618.0; 2016-17/Label_9b: Gin,Gin,1991-92; 1998-99; 2016-17
Ginger,Ginger,singleton,No merge proposed at this stage.,,,True,2005-06; 2012-13; 2016-17,2005-06/Code_9b: 102.0; 2005-06/Label_9b: ginger; 2012-13/Code_9b: 102.0; 2012-13/Label_9b: ginger; 2016-17/Code_9b: 524.0; 2016-17/Label_9b: Ginger,Ginger,2005-06; 2012-13; 2016-17
Goat,Goat/Mutton,draft_merge,"#935 split Mutton out of Goat because the instrument lists them separately in 1991-92..2016-17 (GLSS1/2 have only mutton). Two species; the candidate exists so the split is a decision, not an omission.",slurm_logs/ghanalss_aggregate_labels/LANDED.org: Mutton split out of Goat,goat_mutton,True,1991-92; 1998-99; 2005-06; 2012-13; 2016-17,"1991-92/Code_9b: 55.0; 1991-92/Label_9b: Goat (fresh); 1991-92/Code_8h: 66.0; 1991-92/Label_8h: Goat; 1998-99/Code_8h: 66.0; 1998-99/Label_8h: Goat; 2005-06/Code_9b: 21.0; 2005-06/Label_9b: goat meat; 2005-06/Code_8h: 66.0; 2005-06/Label_8h: goat; 2012-13/Code_9b: 21.0; 2012-13/Label_9b: goat meat; 2012-13/Code_8h: 66.0; 2012-13/Label_8h: goat; 2016-17/Code_9b: 116.0, 117.0; 2016-17/Label_9b: Goat , live, Goat meat; 2016-17/Code_8h: 70.0; 2016-17/Label_8h: 70. Goat",Goat,1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Grape,Grape,singleton,No merge proposed at this stage.,,,True,2016-17,2016-17/Code_9b: 441.0; 2016-17/Label_9b: Grapes,Grape,2016-17
Groundnut,Groundnut,singleton,No merge proposed at this stage.,,,True,1987-88; 1988-89; 1991-92; 1998-99; 2005-06; 2012-13; 2016-17,"1987-88/Code_12A: 316; 1987-88/Label_12A: Grount nuts; 1987-88/Code_12B: 316.0; 1987-88/Label_12B: Grount nuts; 1988-89/Code_12A: 316; 1988-89/Label_12A: Grount nuts; 1988-89/Code_12B: 316.0; 1988-89/Label_12B: Grount nuts; 1991-92/Code_9b: 21.0; 1991-92/Label_9b: Groundnuts; 1991-92/Code_8h: 23.0; 1991-92/Label_8h: Groundnuts (roasted or raw); 1998-99/Code_9b: 21.0; 1998-99/Label_9b: Groundnuts; 1998-99/Code_8h: 23.0; 1998-99/Label_8h: Groundnuts (roasted or raw); 2005-06/Code_9b: 116.0; 2005-06/Label_9b: groundnuts (roasted or raw); 2005-06/Code_8h: 23.0; 2005-06/Label_8h: groundnuts(roasted or raw); 2012-13/Code_9b: 116.0; 2012-13/Label_9b: groundnuts (roasted or raw); 2012-13/Code_8h: 23.0; 2012-13/Label_8h: groundnuts(roasted or raw); 2016-17/Code_9b: 487.0, 488.0; 2016-17/Label_9b: Groundnut (paste), Groundnuts (shelled); 2016-17/Code_8h: 23.0; 2016-17/Label_8h: 23. Groundnuts(roasted or raw)",Groundnut,1987-88; 1988-89; 1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Guinea Corn/Sorghum,Millet/Sorghum,draft_merge,"GLSS1/2 code 303 is ""Millet, guinea corn or sorghua (grain or flour)"": one question over millet grain, millet flour and sorghum (= guinea corn). From GLSS3 the instrument asks the three separately (#935 ruling, @ligon 2026-09-16). The 2016-17 constituents are the gate.","GhanaLSS/1987-88/_/categorical_mapping.org:139 (code 303); GhanaLSS/2016-17/_/categorical_mapping.org:27-33 (codes 27, 30, 31); slurm_logs/ghanalss_aggregate_labels/LANDED.org: Still open item 1 and item 5",millet_sorghum,True,,,,1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Guinea Fowl,Guinea Fowl,singleton,No merge proposed at this stage.,,,True,1991-92; 1998-99,1991-92/Code_9b: 62.0; 1991-92/Label_9b: Guinea fowl; 1998-99/Code_9b: 62.0; 1998-99/Label_9b: Guinea fowl,Guinea Fowl,1991-92; 1998-99; 2016-17
Herring (smoked),Herring (smoked),singleton,No merge proposed at this stage.,,,True,2016-17,2016-17/Code_9b: 155.0; 2016-17/Label_9b: Herrings -smoked,Herring (smoked),2016-17
Honey,Honey,singleton,No merge proposed at this stage.,,,True,1991-92; 1998-99; 2005-06; 2012-13; 2016-17,1991-92/Code_9b: 94.0; 1991-92/Label_9b: Honey; 1998-99/Code_9b: 94.0; 1998-99/Label_9b: Honey; 2005-06/Code_9b: 93.0; 2005-06/Label_9b: honey; 2012-13/Code_9b: 93.0; 2012-13/Label_9b: honey; 2016-17/Code_9b: 505.0; 2016-17/Label_9b: Honey,Honey,1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Ice Cream,Ice Cream,singleton,No merge proposed at this stage.,,,True,1991-92; 1998-99; 2005-06; 2012-13; 2016-17,"1991-92/Code_9b: 96.0; 1991-92/Label_9b: Ice Cream, Ice Lollics; 1998-99/Code_9b: 96.0; 1998-99/Label_9b: Ice Cream, Ice Lollics; 2005-06/Code_9b: 94.0; 2005-06/Label_9b: ice cream,ice lollies,etc.; 2012-13/Code_9b: 94.0; 2012-13/Label_9b: ice cream,ice lollies,etc.; 2016-17/Code_9b: 407.0, 411.0; 2016-17/Label_9b: Fan Ice, Other ice cream",Ice Cream,1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Instant Noodle,Instant Noodle,singleton,No merge proposed at this stage.,,,True,2016-17,2016-17/Code_9b: 83.0; 2016-17/Label_9b: Indomie or instant noodles,Instant Noodle,2016-17
Jam,Jam,singleton,No merge proposed at this stage.,,,True,1991-92; 1998-99,1991-92/Code_9b: 93.0; 1991-92/Label_9b: Jam; 1998-99/Code_9b: 93.0; 1998-99/Label_9b: Jam,Jam,1991-92; 1998-99
Juice,Juice,singleton,No merge proposed at this stage.,,,True,1991-92; 1998-99; 2005-06; 2012-13; 2016-17,"1991-92/Code_9b: 42.0; 1991-92/Label_9b: Fruit juices; 1998-99/Code_9b: 42.0; 1998-99/Label_9b: Fruit juices; 2005-06/Code_9b: 138.0; 2005-06/Label_9b: fruits juices; 2012-13/Code_9b: 138.0; 2012-13/Label_9b: fruits juices; 2016-17/Code_9b: 605.0, 606.0, 607.0, 608.0, 609.0, 610.0, 611.0, 612.0, 613.0; 2016-17/Label_9b: Blue skies, Ceres, Don Simon, Fru Telli, Healthy Live, Junior, Kalipo, Other fruit drink, Pure Heaven",Juice,1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Jute Leaf,Jute Leaf,singleton,No merge proposed at this stage.,,,True,2016-17,2016-17/Code_8h: 59.0; 2016-17/Label_8h: 59. Ayoyo/Ahefu,Jute Leaf,2016-17
Kapla,"Fish (kapla/tilapia, fresh or frozen)",draft_merge,"Both 2016-17 purchase labels explicitly identify fresh/frozen fish, distinguished by species. Keeps the preservation boundary; excludes the historical broad Fish (fresh and frozen) label.",PR #937 additional_candidates.yml: fish_fresh_frozen_named (unchanged by #935),fish_fresh_frozen_named,True,2016-17,2016-17/Code_9b: 149.0; 2016-17/Label_9b: Kpala (Starvids) frozen,Kapla,2016-17
Kenkey/Banku,Kenkey/Banku,singleton,No merge proposed at this stage.,,,True,2005-06; 2012-13; 2016-17,"2005-06/Code_9b: 12.0, 256.0, 264.0; 2005-06/Label_9b: banku or kenkey with sauce, kenkey/banku (without sauce); 2012-13/Code_9b: 12.0, 256.0, 264.0; 2012-13/Label_9b: banku or kenkey with sauce, kenkey/banku (without sauce); 2016-17/Code_9b: 918.0; 2016-17/Label_9b: Kenkey/Banku with fried fish/sauce",Kenkey/Banku,1987-88; 1988-89; 1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Khebabs,Khebabs,singleton,No merge proposed at this stage.,,,True,2016-17,"2016-17/Code_9b: 908.0, 920.0; 2016-17/Label_9b: Khebabs, Khebabs and other meats",Khebabs,2016-17
Koko,Koko,singleton,No merge proposed at this stage.,,,True,1991-92; 1998-99,1991-92/Code_9b: 91.0; 1991-92/Label_9b: Koko; 1998-99/Code_9b: 91.0; 1998-99/Label_9b: Koko,Koko,1991-92; 1998-99
Kola Nut,Kola Nut,singleton,No merge proposed at this stage.,,,True,1991-92; 1998-99; 2016-17,1991-92/Code_9b: 24.0; 1991-92/Label_9b: Kola nut; 1998-99/Code_9b: 24.0; 1998-99/Label_9b: Kola nut; 2016-17/Code_9b: 650.0; 2016-17/Label_9b: Kola Nuts,Kola Nut,1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Konkonte,Konkonte,singleton,No merge proposed at this stage.,,,True,1991-92; 1998-99,1991-92/Code_9b: 14.0; 1991-92/Label_9b: Konkonte; 1998-99/Code_9b: 14.0; 1998-99/Label_9b: Konkonte,Konkonte,1991-92; 1998-99
Lime,Lime,singleton,No merge proposed at this stage.,,,True,2016-17,2016-17/Code_9b: 443.0; 2016-17/Label_9b: Lime,Lime,2016-17
Macaroni,Macaroni/Spaghetti,draft_merge,"GLSS1/2 ask one question (""Macaroni and Spaghetti""); 2016-17 separates them. The coarse label names the group so the series is continuous across waves. Excludes instant noodles, couscous and Other Cereal.","GhanaLSS/1987-88/_/categorical_mapping.org: harmonize_food, code 305; GhanaLSS/2016-17/_/categorical_mapping.org: harmonize_food, macaroni/spaghetti rows; PR #937 selected_groups.yml: pasta (same members; label changed to the coarse member)",pasta,True,2016-17,2016-17/Code_9b: 85.0; 2016-17/Label_9b: Macaroni,Macaroni,2016-17
Macaroni/Spaghetti,Macaroni/Spaghetti,draft_merge,"GLSS1/2 ask one question (""Macaroni and Spaghetti""); 2016-17 separates them. The coarse label names the group so the series is continuous across waves. Excludes instant noodles, couscous and Other Cereal.","GhanaLSS/1987-88/_/categorical_mapping.org: harmonize_food, code 305; GhanaLSS/2016-17/_/categorical_mapping.org: harmonize_food, macaroni/spaghetti rows; PR #937 selected_groups.yml: pasta (same members; label changed to the coarse member)",pasta,True,1987-88; 1988-89,1987-88/Code_12A: 308; 1987-88/Label_12A: Macaroni and Spaghetti; 1987-88/Code_12B: 308.0; 1987-88/Label_12B: Macaroni and Spaghetti; 1988-89/Code_12A: 308; 1988-89/Label_12A: Macaroni and Spaghetti; 1988-89/Code_12B: 308.0; 1988-89/Label_12B: Macaroni and Spaghetti,Macaroni/Spaghetti,1987-88; 1988-89
Mackerel (processed),Fish (canned or in oil/sauce),draft_merge,Canned/processed fish forms named in 2016-17 beside the historical Fish (canned).,PR #937 additional_candidates.yml: named_processed_fish (unchanged by #935),named_processed_fish,True,2016-17,"2016-17/Code_9b: 185.0, 186.0, 187.0, 188.0, 189.0, 190.0, 191.0, 192.0; 2016-17/Label_9b: African Queen, Delay, Ena pa, Geisha, Gino, Obaapa, Other mackerel, Teacher",Mackerel (processed),2016-17
Maize,Maize,singleton,No merge proposed at this stage.,,,True,1987-88; 1988-89; 1991-92; 1998-99,"1987-88/Code_12A: 302; 1987-88/Label_12A: Maize (cob, grain, dough or flour); 1987-88/Code_12B: 302.0; 1987-88/Label_12B: Maize (cob, grain, dough or flour); 1988-89/Code_12A: 302; 1988-89/Label_12A: Maize (cob, grain, dough or flour); 1988-89/Code_12B: 302.0; 1988-89/Label_12B: Maize (cob, grain, dough or flour); 1991-92/Code_9b: 2.0; 1991-92/Label_9b: Maize; 1998-99/Code_9b: 2.0; 1998-99/Label_9b: Maize",Maize,1987-88; 1988-89; 1991-92; 1998-99
Maize (cob),Maize (cob),singleton,No merge proposed at this stage.,,,True,1991-92; 1998-99; 2005-06; 2012-13; 2016-17,1991-92/Code_8h: 2.0; 1991-92/Label_8h: Maize cob (fresh); 1998-99/Code_8h: 2.0; 1998-99/Label_8h: Maize cob (fresh); 2005-06/Code_9b: 2.0; 2005-06/Label_9b: maize; 2005-06/Code_8h: 2.0; 2005-06/Label_8h: maize-cob (fresh); 2012-13/Code_9b: 2.0; 2012-13/Label_9b: maize; 2012-13/Code_8h: 2.0; 2012-13/Label_8h: maize-cob (fresh); 2016-17/Code_8h: 2.0; 2016-17/Label_8h: 2. Maize-cob (fresh),Maize (cob),1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Maize (flour/dough),Maize (flour/dough),singleton,No merge proposed at this stage.,,,True,1991-92; 1998-99; 2005-06; 2012-13; 2016-17,1991-92/Code_9b: 5.0; 1991-92/Label_9b: Maize flour and products (not Koko); 1991-92/Code_8h: 3.0; 1991-92/Label_8h: Maize flour/dough; 1998-99/Code_9b: 5.0; 1998-99/Label_9b: Maize flour and products (not Koko); 1998-99/Code_8h: 3.0; 1998-99/Label_8h: Maize flour/dough; 2005-06/Code_9b: 11.0; 2005-06/Label_9b: maize ground/corn dough; 2005-06/Code_8h: 3.0; 2005-06/Label_8h: maize-flour/dough; 2012-13/Code_9b: 11.0; 2012-13/Label_9b: maize ground/corn dough; 2012-13/Code_8h: 3.0; 2012-13/Label_8h: maize-flour/dough; 2016-17/Code_9b: 35.0; 2016-17/Label_9b: Corn dough; 2016-17/Code_8h: 3.0; 2016-17/Label_8h: 3. Maize-flour/dough,Maize (flour/dough),1991-92; 1998-99; 2005-06; 2012-13; 2016-17
Maize (grain),Maize (grain),singleton,No merge proposed at this stage.,,,True,2016-17,"2016-17/Code_9b: 28.0, 29.0; 2016-17/Label_9b: White maize grains, Yellow maize grains",Maize (grain),2016-17
Maizena,Maizena,singleton,No merge proposed at this stage.,,,True,2016-17,2016-17/Code_9b: 87.0; 2016-17/Label_9b: Maizena,Maizena,2016-17
Malt Drinks (bottle),Malt Drinks,draft_merge,In 2016-17 packaging distinguishes the labels and several brands occur in both; earlier waves carry only the bottle label. Packaging may proxy serving size or household type.,"GhanaLSS/2016-17/_/categorical_mapping.org: harmonize_food, malt drink rows; PR #937 selected_groups.yml: malt_packaging (unchanged by #935)",malt_packaging,True,2005-06; 2012-13; 2016-17,"2005-06/Code_9b: 137.0; 2005-06/Label_9b: malta and malt drinks; 2012-13/Code_9b: 137.0; 2012-13/Label_9b: malta and malt drinks; 2016-17/Code_9b: 575.0, 576.0, 577.0, 578.0, 579.0, 580.0, 581.0, 582.0, 583.0; 2016-17/Label_9b: 5 star, Beta malt, Giant malt, Lion Malt, Magic malt, Malt schweppes, Malta Guinness, Mighty malt, Other bottled malt drinks",Malt Drinks (bottle),2005-06; 2012-13; 2016-17
Malt Drinks (canned),Malt Drinks,draft_merge,In 2016-17 packaging distinguishes the labels and several brands occur in both; earlier waves carry only the bottle label. Packaging may proxy serving size or household type.,"GhanaLSS/2016-17/_/categorical_mapping.org: harmonize_food, malt drink rows; PR #937 selected_groups.yml: malt_packaging (unchanged by #935)",malt_packaging,True,2016-17,"2016-17/Code_9b: 587.0, 588.0, 589.0, 590.0, 591.0, 592.0, 593.0, 594.0; 2016-17/Label_9b: Giant malt, Lion Malt, Magic malt, Malta Guinness, Mighty malt, Other canned malt drinks, Power malt, Volco",Malt Drinks (canned),2016-17
Mango,Mango,singleton,No merge proposed at this stage.,,,True,1987-88; 1988-89; 1991-92; 1998-99; 2005-06; 2012-13; 2016-17,1987-88/Code_12A: 333; 1987-88/Label_12A: Mangoes; 1987-88/Code_12B: 333.0; 1987-88/Label_12B: Mangoes; 1988-89/Code_12A: 333; 1988-89/Label_12A: Mangoes; 1988-89/Code_12B: 333.0; 1988-89/Label_12B: Mangoes; 1991-92/Code_9b: 37.0; 1991-92/Label_9b: Mango; 1991-92/Code_8h: 33.0; 1991-92/Label_8h: Mangoes; 1998-99/Code_9b: 37.0; 1998-99/Label_9b: Mango; 1998-99/Code_8h: 33.0; 1998-99/Label_8h: Mangoes; 2005-06/Code_9b: 72.0; 2005-06/Label_9b: mango; 2005-06/Code_8h: 43.0; 2005-06/Label_8h: mangoes; 2012-13/Code_9b: 72.0; 2012-13/Label_9b: mango; 2012-13/Code_8h: 43.0; 2012-13/Label_8h: mangoes; 2016-17/Code_9b: 437.0; 2016-17/Label_9b: Mango; 2016-17/Code_8h: 43.0; 2016-17/Label_8h: 43. Mangoes,Mango,1987-88; 1988-89; 1991-92; 1998-99; 2005-06; 2012-13; 2016-17
